pvsnr,vsnr,vm,aktiv,spartek,vtr_dau,vtrweg,STORNGRD,gesbeitr,SDANZAHL,SCHAGESA,KOSTGESA,KOSTGEKA,kosten_verw,kosten_prov,plz,alter,SDBEITR5,HSN,KILOMETERSTAND,end_year,end_month,end_day,beg_year,beg_month,beg_day,gfeld_c,ort_id,anr_no,gender_id,plz_id,Customer_beg_year,Electric,car_model
96530185,96530185-002,00 000 1357,0,3,1.011,4,,"36,48",0.0,"0,00","0,00","0,00","12,53","7,95",21720,52.0,"102,30",8004.0,182.505,2024.0,10.0,26.0,2022,1,19,70270,8045,71295,1,5718,2015.0,1,567
26093931,26093931-002,00 000 1769,1,2,820.0,2,,"34,41",0.0,"0,00","0,00","0,00","7,93","7,31",67691,998.0,"68,23",381.0,,,,,2023,1,1,70270,5476,71295,1,5679,2023.0,1,200
26171114,26171114-001,00 000 9420,1,1,759.0,2,,"541,31",0.0,"0,00","0,00","0,00","78,72","87,58",84177,60.0,"784,91",1128.0,,,,,2023,3,3,70270,5365,71295,1,7991,2023.0,1,803
6023000,06023000-012,00 000 1755,1,2,30.0,1,,39.3,0.0,0,0,0,0.57,0.28,25596,57.0,"3,28",64.0,,,,,2025,3,1,70270,211,71295,1,136,1983.0,1,0
25133216,25133216-002,00 000 1357,0,3,365.0,4,,"170,15",0.0,"0,00","0,00","0,00","20,79","13,51",81373,31.0,"170,15",1313.0,73.0,2024.0,1.0,1.0,2023,1,1,70270,1041,71295,1,12597,2019.0,1,4145
97286726,97286726-001,00 000 9240,1,2,1.162,2,,"120,38",0.0,"0,00","0,00","0,00","33,54","30,70",96523,67.0,"284,73",603.0,9.0,,,,2022,1,24,70270,4927,71295,1,5120,2014.0,1,928
27166968,27166968-001,00 000 7104,1,2,89.0,2,,538.29,0.0,0,0,0,15.39,14.94,64401,56.0,"134,57",8566.0,184.0,,,,2025,1,1,70270,4871,71295,1,9363,2025.0,1,148
26974512,26974512-001,00 000 8455,1,3,266.0,2,,"198,89",0.0,"0,00","0,00","0,00","16,82","17,47",53424,72.0,"166,94",588.0,253.426,,,,2024,7,8,70270,3047,71295,1,2893,2024.0,1,980
9220958,09220958-003,00 000 0928,0,2,191.0,1,36.0,"88,57",0.0,"0,00","0,00","0,00","13,76","6,70",23883,999.0,"79,29",710.0,94.43,2024.0,10.0,31.0,2024,4,23,70270,1047,1515,5,128,1977.0,1,542
26283698,26283698-001,00 000 1357,1,2,592.0,4,,"407,64",0.0,"0,00","0,00","0,00","73,29","49,01",93176,28.0,"632,61",8306.0,131.0,,,,2023,8,17,70270,4502,71295,1,4616,2023.0,1,188
25575122,25575122-002,00 000 1614,0,2,40.0,1,36.0,"653,59",0.0,"0,00","0,00","0,00","12,29","5,98",24594,28.0,"70,81",588.0,268.0,2024.0,9.0,10.0,2024,8,1,70270,376,71296,2,8151,2021.0,1,341
26926060,26926060-001,12 277 8001,0,1,0.0,2,42.0,"980,86",0.0,"0,00","0,00","0,00","0,00","0,00",82178,37.0,"0,00",5.0,5.0,2024.0,5.0,21.0,2024,5,21,70270,2441,71296,2,2176,2024.0,1,1524
26318491,26318491-001,00 000 9240,0,1,460.0,2,998.0,"0,00",0.0,"0,00","0,00","0,00","137,82","150,59",14641,25.0,"1.360,83",5.0,,2024.0,12.0,31.0,2023,9,28,70270,2796,71295,1,1132,2023.0,1,3662
24716167,24716167-002,00 000 9712,1,2,706.0,2,,"34,49",0.0,"0,00","0,00","0,00","6,93","6,43",53919,62.0,"60,05",7801.0,,,,,2023,4,25,70270,1831,71295,1,1505,2017.0,1,410
26038846,26038846-001,00 000 6144,0,3,73.0,2,36.0,"34,34",0.0,"0,00","0,00","0,00","0,80","0,75",25596,48.0,"7,06",35.0,196.0,2023.0,3.0,15.0,2023,1,1,70270,172,71295,1,8727,2023.0,1,488
26053775,26053775-001,00 000 4506,0,3,783.0,2,36.0,"86,46",0.0,"0,00","0,00","0,00","16,16","15,68",41063,29.0,"149,79",8004.0,66.964,2025.0,1.0,14.0,2022,11,23,70270,775,71295,1,2821,2022.0,1,895
26469005,26469005-001,00 000 3981,1,2,455.0,2,,"315,82",0.0,"0,00","0,00","0,00","40,34","38,45",63500,59.0,"360,03",5.0,164.0,,,,2024,1,1,70270,1835,71296,2,1509,2024.0,1,1325
26900900,26900900-001,00 000 1357,1,1,340.0,4,,"628,74",0.0,"0,00","0,00","0,00","67,26","45,52",75172,32.0,"586,83",5.0,188.0,,,,2024,4,25,70270,3120,71295,1,10092,2024.0,1,94
24065552,24065552-003,00 000 9240,0,3,507.0,2,36.0,"17,07",0.0,"0,00","0,00","0,00","2,78","2,67",84177,54.0,"25,52",5.0,,2024.0,8.0,9.0,2023,3,21,70270,5365,71295,1,5568,2014.0,1,628
26374200,26374200-007,46 050 8004,1,2,578.0,2,,"376,45",0.0,"0,00","0,00","0,00","61,16","57,38",25355,37.0,"536,62",603.0,,,,,2023,8,31,70269,456,71295,1,205,2023.0,1,825
26186740,26186740-001,00 000 1357,1,2,733.0,4,,"276,40",0.0,"0,00","0,00","0,00","58,31","38,84",74369,40.0,"498,29",710.0,155.85,,,,2023,3,29,70270,7469,71295,1,10460,2023.0,1,860
25765741,25765741-001,00 000 9240,0,2,550.0,2,36.0,"135,88",0.0,"0,00","0,00","0,00","24,93","22,21",78713,67.0,"204,25",35.0,91.0,2023.0,7.0,5.0,2022,1,1,70270,2647,71295,1,9881,2022.0,1,988
27225911,27225911-001,00 000 1394,1,2,30.0,4,,19.7,0.0,0,0,0,0.21,0.12,91126,26.0,"1,64",2115.0,,,,,2025,3,1,70270,1615,71295,1,1265,2025.0,1,0
26514036,26514036-001,00 000 1357,0,3,366.0,4,,"127,13",0.0,"0,00","0,00","0,00","14,06","9,97",44652,69.0,"127,13",588.0,123.0,2025.0,1.0,1.0,2024,1,1,70270,2371,71296,2,2087,2024.0,1,930
24528460,24528460-011,00 000 1729,1,3,395.0,1,,"139,02",0.0,"0,00","0,00","0,00","28,94","12,89",25524,42.0,"151,39",7101.0,,,,,2024,3,1,70271,213,71295,1,168,2017.0,1,747
26082029,26082029-001,00 000 3925,1,1,820.0,2,,"195,77",0.0,"0,00","0,00","0,00","37,72","41,20",33428,51.0,"368,65",7593.0,144.0,,,,2023,1,1,70270,1650,71295,1,664,2023.0,1,834
26959075,26959075-001,00 000 1357,1,2,273.0,4,,"281,22",0.0,"0,00","0,00","0,00","24,27","16,04",26389,41.0,"209,36",603.0,156.0,,,,2024,7,1,70270,1202,71296,2,850,2024.0,1,33
26095838,26095838-001,00 000 1357,0,2,276.0,4,,"1.096,56",0.0,"0,00","0,00","0,00","101,99","65,85",41179,27.0,"828,52",5.0,234.0,2023.0,9.0,10.0,2022,12,8,70270,775,71295,1,1433,2022.0,1,23
26076329,26076329-002,00 000 8313,0,2,748.0,2,36.0,"22,06",0.0,"0,00","0,00","0,00","4,64","4,25",26529,60.0,"39,83",7801.0,,2025.0,1.0,18.0,2023,1,1,70270,5130,71295,1,2095,2023.0,1,827
25742107,25742107-001,00 000 1362,1,1,1.185,4,,"181,14",1.0,"614,31","614,31","614,31","86,00","54,04",55116,35.0,"697,93",5.0,142.745,,,,2022,1,1,70270,2300,71295,1,4276,2022.0,1,1470
24234668,24234668-003,00 000 2598,1,2,361.0,2,,"317,99",0.0,"0,00","0,00","0,00","34,34","32,75",63743,62.0,"306,09",5.0,130.0,,,,2024,4,4,70270,2058,71295,1,2478,2015.0,1,616
25750591,25750591-002,00 000 6384,1,2,1.185,2,,"240,61",0.0,"0,00","0,00","0,00","82,01","75,03",9385,74.0,"696,77",588.0,182.0,,,,2022,1,1,70270,4295,71295,1,13615,2022.0,1,623
25824895,25824895-001,00 000 1357,0,3,365.0,4,,"37,30",0.0,"0,00","0,00","0,00","4,95","2,82",80638,67.0,"37,30",603.0,161.0,2023.0,1.0,4.0,2022,1,4,70270,1041,71296,2,14586,2022.0,1,869
27231180,26537861-001,12 281 7001,1,2,447.0,2,,"438,54",0.0,"0,00","0,00","0,00","57,29","54,59",2763,53.0,"511,31",3003.0,181.0,,,,2024,1,9,70270,1964,71296,2,14576,2024.0,1,46
26478027,26478027-001,00 000 7301,1,3,481.0,2,,"126,50",0.0,"0,00","0,00","0,00","16,22","16,62",12629,62.0,"159,24",2228.0,8.5,,,,2023,12,6,70270,572,71295,1,5847,2023.0,2,318
26543203,26543203-001,00 000 1357,1,1,412.0,4,,"336,24",0.0,"0,00","0,00","0,00","42,06","28,68",38176,49.0,"369,10",1349.0,9.0,,,,2024,2,13,70270,2337,71295,1,10942,2024.0,1,1538
26492779,26492779-001,00 000 4379,1,2,455.0,2,,"358,12",0.0,"0,00","0,00","0,00","45,13","43,01",53721,72.0,"402,68",8566.0,70.0,,,,2024,1,1,70270,2447,71295,1,2183,2024.0,1,708
26310315,26310315-001,00 000 7741,1,2,558.0,2,,"296,26",1.0,"2.952,41","2.952,41","3.357,89","48,18","45,24",87544,36.0,"423,20",1480.0,7.482,,,,2023,9,20,70270,2053,71295,1,1749,2023.0,2,835
26331928,26331928-004,00 000 6467,1,2,455.0,2,,"73,71",0.0,"0,00","0,00","0,00","10,28","9,79",72218,51.0,"91,74",,,,,,2024,1,1,70269,4727,71295,1,4885,2023.0,1,0
26020584,26020584-001,00 000 3557,1,2,820.0,2,,"143,52",0.0,"0,00","0,00","0,00","31,09","28,67",7349,56.0,"267,56",5.0,93.7,,,,2023,1,1,70270,7636,71295,1,7410,2023.0,1,1770
